epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,13312.3,0.70248,0.94261,1.1876,0.90269,0.85284,0.92501,0.80263,0.55391,0.5348,1.10397,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,13527.8,0.70014,0.92215,1.18485,0.86371,0.88593,0.92918,0.80102,0.55697,0.53095,1.10588,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,13743.2,0.69819,0.91606,1.18165,0.89094,0.86466,0.92883,0.80337,0.56028,0.53589,1.11263,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,13957.6,0.69438,0.89129,1.18085,0.89481,0.86755,0.926,0.80113,0.55923,0.531,1.11069,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,14172.4,0.68715,0.89819,1.17211,0.9007,0.8766,0.93504,0.80575,0.55916,0.51747,1.11403,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,14387.4,0.69482,0.89565,1.17883,0.87939,0.86535,0.93007,0.80359,0.54897,0.51777,1.10239,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,14602.5,0.69149,0.87775,1.17932,0.91028,0.85756,0.93532,0.80973,0.5485,0.5182,1.10147,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,14816.8,0.69073,0.88341,1.17864,0.89956,0.87089,0.93526,0.80898,0.5535,0.51294,1.10648,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,15031.7,0.68051,0.86463,1.16958,0.91078,0.8711,0.93767,0.81034,0.55192,0.50667,1.10522,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,15246.5,0.68693,0.87216,1.17466,0.90638,0.87353,0.93709,0.80604,0.5501,0.50876,1.0958,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
